 subject	trial	gazeX	gazeY	label
1	1	-1	-1	1
1	1	-1	-1	1
1	1	-1	-1	1
1	1	-1	-1	1
1	1	-1	-1	1
1	1	-1	-1	1
1	1	-1	-1	1
1	1	-1	-1	1
1	1	-1	-1	1
1	1	-1	-1	1
1	1	-1	-1	1
1	1	-1	-1	1
1	1	-1	-1	1
1	1	-1	-1	1
1	1	-1	-1	1
1	1	-1	-1	1
1	1	-1	-1	1
1	1	-1	-1	1
1	1	-1	-1	1
1	1	-1	-1	1
1	1	-1	-1	1
1	1	0.7463199	0.3817881	1
1	1	-1	-1	1
1	1	0.7563701	0.391761	1
1	1	-1	-1	1
1	1	0.7540916	0.3970774	1
1	1	0.7646027	0.363432	1
1	1	0.7640033	0.3662336	1
1	1	0.7629339	0.3637718	1
1	1	0.7653103	0.3651106	1
1	1	0.7703643	0.366726	1
1	1	0.7670897	0.3745984	1
1	1	0.764152	0.3809036	1
1	1	0.7634421	0.3802759	1
1	1	0.7639065	0.3765774	1
1	1	0.7557839	0.3833747	1
1	1	0.7722485	0.3731113	1
1	1	0.7540804	0.3797127	1
1	1	0.8017529	0.3427816	1
1	1	0.7874613	0.3546742	1
1	1	0.7883193	0.3387736	1
1	1	0.8083304	0.3054079	1
1	1	0.7861607	0.3433465	1
1	1	0.7707645	0.3795945	1
1	1	0.777724	0.3731489	1
1	1	0.774228	0.370648	1
1	1	0.775735	0.371073	1
1	1	0.7761376	0.3698674	1
1	1	0.7759579	0.3732846	1
1	1	0.7755393	0.3781333	1
1	1	0.7749038	0.3754286	1
1	1	0.775743	0.3785852	1
1	1	0.7855077	0.3671901	1
1	1	0.7828925	0.3730522	1
1	1	0.7839466	0.3603509	1
1	1	0.7809969	0.3769529	1
1	1	0.7917511	0.3654697	1
1	1	0.7943873	0.3611744	1
1	1	0.7907712	0.3560066	1
1	1	0.7894065	0.3637597	1
1	1	0.7878405	0.371069	1
1	1	0.7898377	0.3693414	1
1	1	0.7854542	0.3672231	1
1	1	0.7880232	0.362236	1
1	1	0.789064	0.3652261	1
1	1	0.7954832	0.3548297	1
1	1	0.7984995	0.3345378	1
1	1	0.8130051	0.3600871	1
1	1	0.7770312	0.3227474	1
1	1	0.8255234	0.3077851	1
1	1	0.8131316	0.3144788	1
1	1	0.8050195	0.3367889	1
1	1	0.7860943	0.36572	1
1	1	0.7832655	0.354269	1
1	1	0.794007	0.3642879	1
1	1	0.7891188	0.3651256	1
1	1	0.7625595	0.3672292	1
1	1	0.5945867	0.4355035	1
1	1	0.4587157	0.4386151	1
1	1	0.4681807	0.4470897	1
1	1	0.4800256	0.4401127	1
1	1	0.4785801	0.4360197	1
1	1	0.4864577	0.4410918	1
1	1	0.4851807	0.4431279	1
1	1	0.4860312	0.4392052	1
1	1	0.4823074	0.4319905	1
1	1	0.4841143	0.435869	1
1	1	0.4829762	0.4341228	1
1	1	0.4789849	0.4447024	1
1	1	0.4795098	0.4313014	1
1	1	0.4845703	0.447365	1
1	1	0.4863177	0.4479428	1
1	1	0.4825787	0.4370956	1
1	1	0.484978	0.4454801	1
1	1	0.4791288	0.443776	1
1	1	0.4750986	0.4536096	1
1	1	0.4850659	0.4465255	1
1	1	0.4847274	0.4415068	1
1	1	0.4902612	0.4524073	1
1	1	0.4943657	0.4363176	1
1	1	0.4945199	0.4412671	1
1	1	0.4884947	0.4431904	1
1	1	0.4908547	0.4482093	1
1	1	0.4891883	0.4347648	1
1	1	0.4832966	0.4527096	1
1	1	0.4863951	0.4367052	1
1	1	0.4813765	0.4391602	1
1	1	0.4782149	0.4363528	1
1	1	0.4815112	0.4419019	1
1	1	0.4765694	0.4449001	1
1	1	0.4845214	0.4406378	1
1	1	0.4757839	0.4456435	1
1	1	0.4846314	0.4405295	1
1	1	0.4762722	0.4409604	1
1	1	0.4761548	0.4491647	1
1	1	0.5451198	0.4130239	1
1	1	0.5584479	0.4116953	1
1	1	0.5568596	0.4117069	1
1	1	0.5638888	0.4128927	1
1	1	0.5625978	0.4178503	1
1	1	0.5657228	0.416054	1
1	1	0.5659361	0.4053624	1
1	1	0.567545	0.4035618	1
1	1	0.5655574	0.4098289	1
1	1	0.5661256	0.4058903	1
1	1	0.5644305	0.4099371	1
1	1	0.5643566	0.405047	1
1	1	0.5622715	0.4150528	1
1	1	0.5389749	0.539705	1
1	1	0.5386401	0.5332717	1
1	1	0.5361323	0.5355371	1
1	1	0.5395716	0.5395777	1
1	1	0.5404889	0.5324899	1
1	1	0.5440981	0.5363829	1
1	1	0.5451819	0.5325698	1
1	1	0.5444543	0.5365012	1
1	1	0.5406805	0.530382	1
1	1	0.5443241	0.5318175	1
1	1	0.5392914	0.5311801	1
1	1	0.5372894	0.5305846	1
1	1	0.5356969	0.5327361	1
1	1	0.5393859	0.5328915	1
1	1	0.5406375	0.5339611	1
1	1	0.5390685	0.5339018	1
1	1	0.5379476	0.5294029	1
1	1	0.5390038	0.5277028	1
1	1	0.5393826	0.5300276	1
1	1	0.545908	0.5306991	1
1	1	0.539597	0.5317858	1
1	1	0.5368396	0.5322119	1
1	1	0.5378149	0.5295054	1
1	1	-1	-1	1
1	1	-1	-1	1
1	1	-1	-1	1
1	2	-1	-1	1
1	2	-1	-1	1
1	2	0.5293029	0.5232714	1
1	2	0.5307928	0.5198544	1
1	2	0.5311769	0.5139807	1
1	2	0.5302081	0.5165675	1
1	2	0.5292785	0.5163501	1
1	2	0.5291744	0.5184943	1
1	2	0.5322912	0.5174537	1
1	2	0.5316435	0.5165095	1
1	2	0.5346571	0.516795	1
1	2	0.535883	0.5150249	1
1	2	0.5362343	0.5141549	1
1	2	0.534839	0.5173031	1
1	2	0.5357277	0.5160486	1
1	2	0.5367671	0.5122593	1
1	2	0.5349643	0.5166682	1
1	2	0.5367065	0.5246852	1
1	2	0.5410691	0.5171599	1
1	2	0.538798	0.5265669	1
1	2	0.5388081	0.5180843	1
1	2	0.5432752	0.5265751	1
1	2	0.5415267	0.5252532	1
1	2	0.5434201	0.5248316	1
1	2	0.5439805	0.5239239	1
1	2	0.5275108	0.5217624	1
1	2	0.3633169	0.5210657	1
1	2	0.3065017	0.5336722	1
1	2	0.3286298	0.5360046	1
1	2	0.3176575	0.5320912	1
1	2	0.32247	0.5434557	1
1	2	0.3217485	0.5313234	1
1	2	0.3247895	0.5366187	1
1	2	0.3186394	0.5296046	1
1	2	0.3219644	0.5206739	1
1	2	0.3280507	0.527275	1
1	2	0.3240072	0.5176874	1
1	2	0.3255081	0.5489168	1
1	2	0.2933242	0.5344495	1
1	2	0.2966558	0.5459873	1
1	2	0.2804346	0.5206037	1
1	2	0.2964129	0.5608121	1
1	2	0.2909052	0.5280839	1
1	2	0.2920025	0.5298734	1
1	2	0.299082	0.5350738	1
1	2	0.2922726	0.5280187	1
1	2	0.2962739	0.528024	1
1	2	0.2858964	0.5155963	1
1	2	0.2875983	0.5281914	1
1	2	0.2842689	0.5250565	1
1	2	0.2972436	0.5471861	1
1	2	0.2959579	0.5378911	1
1	2	0.2924115	0.5187007	1
1	2	0.2890144	0.5265715	1
1	2	0.288611	0.5166799	1
1	2	0.2938053	0.5219728	1
1	2	0.289713	0.5306532	1
1	2	0.2902738	0.5310363	1
1	2	0.3638311	0.4817073	1
1	2	0.4916087	0.415725	1
1	2	0.5536872	0.4285161	1
1	2	0.5714967	0.4150966	1
1	2	0.5675622	0.4143893	1
1	2	0.5640601	0.3900503	1
1	2	0.5635061	0.4073516	1
1	2	0.5685231	0.3988577	1
1	2	0.5693079	0.4056503	1
1	2	0.5563136	0.4086912	1
1	2	0.5686817	0.3989377	1
1	2	0.5527201	0.4102171	1
1	2	0.5579873	0.4140919	1
1	2	0.5631154	0.4108393	1
1	2	0.559182	0.4254052	1
1	2	0.55682	0.4079106	1
1	2	0.5677993	0.4127883	1
1	2	0.5644714	0.4183774	1
1	2	0.5629342	0.4201819	1
1	2	0.5691846	0.4110514	1
1	2	0.574064	0.4168284	1
1	2	0.5690706	0.4186334	1
1	2	0.5653161	0.4242523	1
1	2	0.5537171	0.4131923	1
1	2	0.5527406	0.422352	1
1	2	0.5598912	0.428417	1
1	2	0.5527067	0.4091294	1
1	2	0.5572411	0.4186449	1
1	2	0.5428725	0.4355322	1
1	2	0.554566	0.4179026	1
1	2	0.5588593	0.4279728	1
1	2	0.5641537	0.4152071	1
1	2	0.5465077	0.4344021	1
1	2	0.5533414	0.4196702	1
1	2	0.5533373	0.4258918	1
1	2	0.5552689	0.4282413	1
1	2	0.5539795	0.4329928	1
1	2	0.551497	0.4422803	1
1	2	0.5519782	0.4309307	1
1	2	0.5581281	0.4233288	1
1	2	0.562405	0.4312476	1
1	2	0.5637511	0.4337899	1
1	2	0.5586374	0.4342708	1
1	2	0.5584425	0.4293325	1
1	2	0.5535926	0.4234634	1
1	2	0.5561732	0.4273006	1
1	2	0.5510256	0.4320375	1
1	2	0.5509943	0.4362632	1
1	2	0.5529556	0.4357307	1
1	2	0.5496797	0.4414665	1
1	2	0.5533965	0.4246252	1
1	2	0.5518945	0.4314418	1
1	2	0.551277	0.4252185	1
1	2	0.5549939	0.4252113	1
1	2	0.5547197	0.4165503	1
1	2	0.5534694	0.415294	1
1	2	0.5535172	0.421349	1
1	2	0.5477049	0.4317963	1
1	2	0.5472196	0.4279971	1
1	2	0.5421425	0.4222983	1
1	2	0.5391136	0.4309613	1
1	2	0.5433916	0.4293275	1
1	2	0.5417863	0.4244973	1
1	2	0.538474	0.4321409	1
1	2	0.5409358	0.4294894	1
1	2	0.5371314	0.4297942	1
1	2	0.5415325	0.4306159	1
1	2	0.544059	0.4246913	1
1	2	0.5439478	0.4272746	1
1	2	0.5414113	0.4300638	1
1	2	0.5336971	0.4330465	1
1	2	0.4265331	0.4352621	1
1	2	0.4075511	0.4445	1
1	2	0.4083579	0.443571	1
1	2	0.4002708	0.4473794	1
1	2	0.4032694	0.4401807	1
1	2	0.3979472	0.451728	1
1	2	0.4001459	0.4473236	1
1	2	0.4039799	0.4418423	1
1	2	0.4051034	0.4421858	1
1	2	0.4093709	0.4421132	1
1	2	0.4091368	0.439814	1
1	2	0.4035065	0.4422917	1
1	2	0.3941623	0.4440127	1
1	2	0.395693	0.440211	1
1	3	0.3967927	0.4388563	1
1	3	0.4012262	0.4312587	1
1	3	0.3994126	0.4386426	1
1	3	0.3979844	0.4371409	1
1	3	0.3531929	0.497226	1
1	3	0.3082609	0.5576639	1
1	3	0.313986	0.5507097	1
1	3	0.317002	0.5581493	1
1	3	0.3186346	0.5565545	1
1	3	-1	-1	1
1	3	-1	-1	1
1	3	-1	-1	1
1	3	-1	-1	1
1	3	-1	-1	1
1	3	-1	-1	1
1	3	-1	-1	1
1	3	0.300041	0.5224032	1
1	3	0.2972682	0.5172278	1
1	3	0.3007483	0.5275284	1
1	3	0.2968145	0.5254273	1
1	3	0.2960608	0.5342742	1
1	3	0.2952272	0.5320718	1
1	3	0.2984493	0.5276327	1
1	3	0.3716899	0.4206503	1
1	3	0.4841469	0.3082166	1
1	3	0.5060485	0.301183	1
1	3	0.5087573	0.3030365	1
1	3	0.5075244	0.3043402	1
1	3	0.5054193	0.3085613	1
1	3	0.5017952	0.308557	1
1	3	0.5020352	0.3129338	1
1	3	0.5132517	0.3084415	1
